frame,t_s,est_X_mm,est_Y_mm,tracked_points,inlier_ratio,roi_visible,flags
0,0.0000,0.0317,0.0028,0,0.0000,0.4560,
1,0.0168,0.0317,0.0028,795,1.0000,0.4560,
2,0.0337,0.0317,0.0028,792,0.9987,0.4560,
3,0.0505,0.0317,0.0027,787,0.9987,0.4566,
4,0.0673,0.0318,0.0028,771,0.9910,0.4559,
5,0.0842,0.0318,0.0029,699,0.9861,0.4552,
6,0.1010,0.0319,0.0029,621,0.9968,0.4567,
7,0.1178,0.0319,0.0029,614,0.9984,0.4549,
8,0.1347,0.0320,0.0028,605,0.9984,0.4557,
9,0.1515,0.0318,0.0030,590,0.9933,0.4553,
10,0.1684,0.0316,0.0029,580,0.9932,0.4560,
11,0.1852,0.0316,0.0028,503,0.9980,0.4563,
12,0.2020,0.0316,0.0028,492,1.0000,0.4559,
13,0.2189,0.0316,0.0028,496,1.0000,0.4559,
14,0.2357,0.0316,0.0028,492,1.0000,0.4559,
15,0.2525,0.0316,0.0028,487,0.9879,0.4559,
16,0.2694,0.0313,0.0027,464,0.9936,0.4553,
17,0.2862,0.0313,0.0027,462,1.0000,0.4549,
18,0.3030,0.0313,0.0027,461,0.9978,0.4565,
19,0.3199,0.0311,0.0026,450,0.9934,0.4568,
20,0.3367,0.0293,0.0026,457,0.9936,0.4571,
21,0.3535,0.0292,0.0026,439,1.0000,0.4547,
22,0.3704,0.0292,0.0027,434,1.0000,0.4564,
23,0.3872,0.0292,0.0027,424,1.0000,0.4552,
24,0.4041,0.0291,0.0028,424,0.9976,0.4558,
25,0.4209,0.0291,0.0027,402,1.0000,0.4572,
26,0.4377,0.0291,0.0027,422,1.0000,0.4550,
27,0.4546,0.0291,0.0027,409,1.0000,0.4565,
28,0.4714,0.0291,0.0027,401,1.0000,0.4557,
29,0.4882,0.0288,0.0026,402,1.0000,0.4567,
30,0.5051,0.0195,0.0024,370,0.9767,0.4542,
31,0.5219,0.0195,0.0024,540,1.0000,0.4542,
32,0.5387,0.0195,0.0024,525,1.0000,0.4557,
33,0.5556,0.0194,0.0024,508,1.0000,0.4551,
34,0.5724,0.0194,0.0023,497,1.0000,0.4570,
35,0.5892,0.0193,0.0022,490,1.0000,0.4568,
36,0.6061,0.0192,0.0022,449,0.9978,0.4574,
37,0.6229,0.0192,0.0022,435,0.9954,0.4557,
38,0.6398,0.0192,0.0023,450,1.0000,0.4557,
39,0.6566,0.0192,0.0022,422,1.0000,0.4567,
40,0.6734,0.0191,0.0022,435,1.0000,0.4564,
41,0.6903,0.0191,0.0022,428,1.0000,0.4563,
42,0.7071,0.0191,0.0022,433,0.9977,0.4557,
43,0.7239,0.0191,0.0022,431,1.0000,0.4564,
44,0.7408,0.0191,0.0022,422,1.0000,0.4564,
45,0.7576,0.0187,0.0021,422,1.0000,0.4552,
46,0.7744,0.0187,0.0021,400,1.0000,0.4563,
47,0.7913,0.0187,0.0021,400,1.0000,0.4571,
48,0.8081,0.0187,0.0021,391,0.9974,0.4564,
49,0.8249,0.0187,0.0021,396,1.0000,0.4563,
50,0.8418,0.0187,0.0021,391,1.0000,0.4569,
51,0.8586,0.0186,0.0021,395,1.0000,0.4552,
52,0.8755,0.0187,0.0020,376,1.0000,0.4571,
53,0.8923,0.0185,0.0021,393,1.0000,0.4569,
54,0.9091,0.0186,0.0021,399,0.9925,0.4549,
55,0.9260,0.0185,0.0020,414,1.0000,0.4556,
56,0.9428,0.0185,0.0020,405,1.0000,0.4563,
57,0.9596,0.0153,0.0020,389,0.9849,0.4570,
58,0.9765,0.0153,0.0020,464,1.0000,0.4569,
59,0.9933,0.0152,0.0020,447,1.0000,0.4571,
60,1.0101,0.0081,0.0003,392,0.9413,0.4571,
61,1.0270,0.0081,0.0003,636,1.0000,0.4565,
62,1.0438,0.0081,0.0003,643,1.0000,0.4543,
63,1.0606,0.0082,0.0004,612,0.9984,0.4566,
64,1.0775,0.0082,0.0004,596,1.0000,0.4566,
65,1.0943,0.0081,0.0004,572,1.0000,0.4568,
66,1.1112,0.0080,0.0004,532,1.0000,0.4553,
67,1.1280,0.0080,0.0004,524,1.0000,0.4563,
68,1.1448,0.0079,0.0004,496,0.9980,0.4555,
69,1.1617,0.0079,0.0004,502,1.0000,0.4553,
70,1.1785,0.0078,0.0004,494,1.0000,0.4557,
71,1.1953,0.0078,0.0004,431,1.0000,0.4558,
72,1.2122,0.0078,0.0004,428,1.0000,0.4557,
73,1.2290,0.0078,0.0004,420,0.9976,0.4557,
74,1.2458,0.0078,0.0005,412,1.0000,0.4564,
75,1.2627,0.0077,0.0004,396,0.9975,0.4544,
76,1.2795,0.0077,0.0004,385,1.0000,0.4567,
77,1.2963,0.0077,0.0004,390,1.0000,0.4556,
78,1.3132,0.0077,0.0004,392,1.0000,0.4557,
79,1.3300,0.0078,0.0004,383,1.0000,0.4554,
80,1.3468,0.0078,0.0005,379,1.0000,0.4573,
81,1.3637,0.0078,0.0005,373,1.0000,0.4569,
82,1.3805,0.0078,0.0004,361,1.0000,0.4568,
83,1.3974,0.0078,0.0005,360,1.0000,0.4568,
84,1.4142,0.0078,0.0004,357,1.0000,0.4568,
85,1.4310,0.0078,0.0004,353,1.0000,0.4562,
86,1.4479,0.0077,0.0004,348,1.0000,0.4565,
87,1.4647,0.0078,0.0003,343,1.0000,0.4557,
88,1.4815,0.0077,0.0003,346,1.0000,0.4547,
89,1.4984,0.0077,0.0003,337,1.0000,0.4567,
90,1.5152,0.0043,-0.0007,316,0.9758,0.4555,
91,1.5320,0.0043,-0.0007,500,1.0000,0.4571,
92,1.5489,0.0044,-0.0007,491,1.0000,0.4571,
93,1.5657,0.0044,-0.0006,494,0.9980,0.4555,
94,1.5825,0.0043,-0.0006,439,1.0000,0.4558,
95,1.5994,0.0045,-0.0007,429,1.0000,0.4565,
96,1.6162,0.0045,-0.0007,419,1.0000,0.4564,
97,1.6331,0.0045,-0.0007,386,1.0000,0.4573,
98,1.6499,0.0045,-0.0007,382,1.0000,0.4565,
99,1.6667,0.0044,-0.0008,371,1.0000,0.4564,
100,1.6836,0.0044,-0.0008,362,0.9972,0.4564,
101,1.7004,0.0044,-0.0007,328,1.0000,0.4564,
102,1.7172,0.0044,-0.0008,332,1.0000,0.4564,
103,1.7341,0.0045,-0.0009,334,1.0000,0.4567,
104,1.7509,0.0045,-0.0009,336,1.0000,0.4555,
105,1.7677,0.0045,-0.0008,334,1.0000,0.4558,
106,1.7846,0.0045,-0.0008,330,1.0000,0.4558,
107,1.8014,0.0045,-0.0008,330,1.0000,0.4552,
108,1.8182,0.0045,-0.0009,332,1.0000,0.4560,
109,1.8351,0.0046,-0.0009,330,1.0000,0.4565,
110,1.8519,0.0046,-0.0009,328,1.0000,0.4569,
111,1.8688,0.0047,-0.0009,319,1.0000,0.4569,
112,1.8856,0.0047,-0.0009,323,1.0000,0.4563,
113,1.9024,0.0046,-0.0009,312,1.0000,0.4567,
114,1.9193,0.0045,-0.0008,316,1.0000,0.4569,
115,1.9361,0.0046,-0.0008,332,0.9970,0.4565,
116,1.9529,0.0046,-0.0008,327,0.9970,0.4565,
117,1.9698,0.0047,-0.0008,323,1.0000,0.4546,
118,1.9866,0.0046,-0.0009,320,1.0000,0.4571,
119,2.0034,0.0047,-0.0009,310,1.0000,0.4564,
120,2.0203,-0.0011,-0.0012,287,0.9671,0.4555,
121,2.0371,-0.0011,-0.0012,564,1.0000,0.4555,
122,2.0539,-0.0011,-0.0012,549,1.0000,0.4552,
123,2.0708,-0.0010,-0.0012,529,0.9906,0.4554,
124,2.0876,-0.0010,-0.0012,493,0.9960,0.4563,
125,2.1045,-0.0010,-0.0012,466,1.0000,0.4553,
126,2.1213,-0.0010,-0.0012,440,0.9977,0.4555,
127,2.1381,-0.0010,-0.0012,436,0.9954,0.4555,
128,2.1550,-0.0010,-0.0012,426,0.9977,0.4555,
129,2.1718,-0.0010,-0.0012,419,1.0000,0.4555,
130,2.1886,-0.0010,-0.0012,403,1.0000,0.4553,
131,2.2055,-0.0010,-0.0012,400,1.0000,0.4568,
132,2.2223,-0.0010,-0.0012,412,1.0000,0.4574,
133,2.2391,-0.0010,-0.0012,402,1.0000,0.4566,
134,2.2560,-0.0010,-0.0012,386,1.0000,0.4566,
135,2.2728,-0.0010,-0.0012,384,1.0000,0.4562,
136,2.2896,-0.0010,-0.0012,369,1.0000,0.4562,
137,2.3065,-0.0010,-0.0012,370,1.0000,0.4559,
138,2.3233,-0.0010,-0.0012,387,1.0000,0.4559,
139,2.3401,-0.0010,-0.0012,380,0.9974,0.4564,
140,2.3570,-0.0010,-0.0012,377,0.9947,0.4563,
141,2.3738,-0.0010,-0.0012,367,1.0000,0.4563,
142,2.3907,-0.0010,-0.0012,364,1.0000,0.4565,
143,2.4075,-0.0010,-0.0012,354,1.0000,0.4565,
144,2.4243,-0.0010,-0.0012,359,1.0000,0.4565,
145,2.4412,-0.0010,-0.0012,351,1.0000,0.4565,
146,2.4580,-0.0010,-0.0012,351,1.0000,0.4565,
147,2.4748,-0.0010,-0.0012,348,1.0000,0.4565,
148,2.4917,-0.0010,-0.0012,347,1.0000,0.4565,
149,2.5085,-0.0011,-0.0012,346,1.0000,0.4564,
150,2.5253,-0.0023,-0.0008,322,0.9713,0.4545,
151,2.5422,-0.0023,-0.0008,484,1.0000,0.4545,
152,2.5590,-0.0023,-0.0008,487,1.0000,0.4560,
153,2.5758,-0.0023,-0.0008,472,1.0000,0.4564,
154,2.5927,-0.0023,-0.0008,462,1.0000,0.4566,
155,2.6095,-0.0023,-0.0008,446,0.9978,0.4556,
156,2.6264,-0.0023,-0.0008,415,1.0000,0.4565,
157,2.6432,-0.0023,-0.0008,415,1.0000,0.4565,
158,2.6600,-0.0023,-0.0008,406,1.0000,0.4565,
159,2.6769,-0.0023,-0.0007,394,1.0000,0.4565,
160,2.6937,-0.0023,-0.0008,383,0.9974,0.4563,
161,2.7105,-0.0023,-0.0008,370,1.0000,0.4566,
162,2.7274,-0.0023,-0.0008,370,1.0000,0.4563,
163,2.7442,-0.0023,-0.0008,368,1.0000,0.4563,
164,2.7610,-0.0023,-0.0008,371,1.0000,0.4563,
165,2.7779,-0.0024,-0.0007,371,1.0000,0.4563,
166,2.7947,-0.0024,-0.0007,368,1.0000,0.4563,
167,2.8115,-0.0024,-0.0007,370,1.0000,0.4563,
168,2.8284,-0.0024,-0.0007,369,1.0000,0.4565,
169,2.8452,-0.0024,-0.0007,364,1.0000,0.4565,
170,2.8621,-0.0024,-0.0007,363,1.0000,0.4555,
171,2.8789,-0.0024,-0.0007,363,1.0000,0.4568,
172,2.8957,-0.0025,-0.0007,364,1.0000,0.4568,
173,2.9126,-0.0024,-0.0007,358,0.9972,0.4569,
174,2.9294,-0.0024,-0.0007,350,1.0000,0.4568,
175,2.9462,-0.0025,-0.0007,342,1.0000,0.4568,
176,2.9631,-0.0025,-0.0007,344,1.0000,0.4568,
177,2.9799,-0.0025,-0.0007,328,1.0000,0.4552,
178,2.9967,-0.0025,-0.0007,330,1.0000,0.4563,
179,3.0136,-0.0025,-0.0007,330,1.0000,0.4565,
180,3.0304,-0.0053,0.0003,307,0.9511,0.4562,
181,3.0472,-0.0053,0.0003,485,1.0000,0.4562,
182,3.0641,-0.0053,0.0003,474,1.0000,0.4562,
183,3.0809,-0.0053,0.0003,469,0.9979,0.4562,
184,3.0978,-0.0053,0.0003,443,1.0000,0.4563,
185,3.1146,-0.0053,0.0003,432,1.0000,0.4556,
186,3.1314,-0.0053,0.0003,415,1.0000,0.4556,
187,3.1483,-0.0053,0.0003,417,1.0000,0.4556,
188,3.1651,-0.0053,0.0003,406,1.0000,0.4554,
189,3.1819,-0.0053,0.0003,400,1.0000,0.4577,
190,3.1988,-0.0053,0.0003,393,1.0000,0.4576,
191,3.2156,-0.0053,0.0003,389,1.0000,0.4551,
192,3.2324,-0.0053,0.0003,387,1.0000,0.4554,
193,3.2493,-0.0053,0.0003,390,1.0000,0.4564,
194,3.2661,-0.0053,0.0003,385,1.0000,0.4564,
195,3.2829,-0.0054,0.0002,385,0.9974,0.4563,
196,3.2998,-0.0054,0.0002,377,1.0000,0.4563,
197,3.3166,-0.0054,0.0002,377,1.0000,0.4564,
198,3.3335,-0.0054,0.0002,375,1.0000,0.4564,
199,3.3503,-0.0053,0.0002,383,1.0000,0.4564,
200,3.3671,-0.0054,0.0002,374,1.0000,0.4564,
201,3.3840,-0.0054,0.0002,382,1.0000,0.4564,
202,3.4008,-0.0054,0.0002,375,1.0000,0.4564,
203,3.4176,-0.0053,0.0002,379,1.0000,0.4564,
204,3.4345,-0.0054,0.0002,381,1.0000,0.4562,
205,3.4513,-0.0054,0.0002,384,1.0000,0.4559,
206,3.4681,-0.0054,0.0002,384,1.0000,0.4564,
207,3.4850,-0.0054,0.0002,385,1.0000,0.4562,
208,3.5018,-0.0054,0.0002,377,1.0000,0.4564,
209,3.5186,-0.0054,0.0002,374,1.0000,0.4567,
210,3.5355,-0.0067,-0.0017,347,0.9702,0.4568,
211,3.5523,-0.0067,-0.0017,416,1.0000,0.4570,
212,3.5691,-0.0067,-0.0017,412,1.0000,0.4570,
213,3.5860,-0.0067,-0.0016,409,1.0000,0.4562,
214,3.6028,-0.0067,-0.0016,406,1.0000,0.4562,
215,3.6197,-0.0066,-0.0016,400,1.0000,0.4563,
216,3.6365,-0.0066,-0.0016,398,1.0000,0.4563,
217,3.6533,-0.0066,-0.0016,397,1.0000,0.4556,
218,3.6702,-0.0066,-0.0016,392,1.0000,0.4549,
219,3.6870,-0.0066,-0.0016,396,1.0000,0.4549,
220,3.7038,-0.0066,-0.0016,395,1.0000,0.4563,
221,3.7207,-0.0066,-0.0016,389,1.0000,0.4556,
222,3.7375,-0.0066,-0.0016,388,0.9949,0.4556,
223,3.7543,-0.0066,-0.0016,382,1.0000,0.4556,
224,3.7712,-0.0066,-0.0016,375,1.0000,0.4556,
225,3.7880,-0.0066,-0.0016,367,1.0000,0.4562,
226,3.8048,-0.0066,-0.0016,366,1.0000,0.4562,
227,3.8217,-0.0066,-0.0016,361,1.0000,0.4562,
228,3.8385,-0.0066,-0.0016,359,1.0000,0.4556,
