frame,t_s,ref_X_mm,ref_Y_mm,ref_corners,ref_rms_px,mm_per_px,top_corners,top_rms_px,xcheck_mm
0,0.0000,-0.0553,0.0735,165,0.4894,0.193644,141,0.6053,0.0839
1,0.0168,-0.0583,0.0746,165,0.4892,0.193646,138,0.6218,0.2089
2,0.0337,-0.0439,0.0620,165,0.4878,0.193634,138,0.6219,0.1911
3,0.0505,0.0937,0.0212,167,0.5098,0.193606,138,0.6220,0.0574
4,0.0673,0.0788,-0.0046,167,0.5112,0.193505,133,0.6082,0.0250
5,0.0842,0.0252,-0.0252,163,0.4820,0.193427,141,0.6002,0.0644
6,0.1010,0.1999,-0.0395,170,0.5486,0.193513,140,0.6152,0.0395
7,0.1178,-0.0744,-0.0004,163,0.4804,0.193474,136,0.6077,0.4000
8,0.1347,0.0793,-0.0304,166,0.5079,0.193462,112,0.5588,0.1560
9,0.1515,-0.0613,0.0156,162,0.4652,0.193521,137,0.6164,0.2430
10,0.1684,0.0238,0.0267,166,0.4948,0.193560,143,0.6180,0.0477
11,0.1852,0.2481,-0.0287,170,0.5518,0.193414,139,0.5973,0.2960
12,0.2020,-0.0064,0.0263,165,0.4799,0.193565,139,0.5971,0.0356
13,0.2189,-0.0073,0.0265,165,0.4796,0.193566,139,0.5971,0.0345
14,0.2357,0.0706,-0.0044,167,0.5061,0.193495,136,0.5923,0.1374
15,0.2525,0.0770,-0.0060,167,0.5052,0.193504,141,0.6193,0.1139
16,0.2694,-0.0429,0.0134,163,0.4575,0.193507,140,0.5977,0.0716
17,0.2862,-0.0854,0.0005,162,0.4554,0.193484,143,0.6110,0.1305
18,0.3030,0.0943,0.0229,168,0.5127,0.193584,143,0.6112,0.0502
19,0.3199,0.1268,-0.0073,173,0.5874,0.193621,142,0.6096,0.0353
20,0.3367,0.0465,0.0766,171,0.5688,0.193756,137,0.5947,0.1289
21,0.3535,0.0251,-0.0776,164,0.5213,0.193369,136,0.6068,0.1114
22,0.3704,0.0575,0.0240,166,0.4864,0.193576,135,0.5885,0.1488
23,0.3872,-0.0509,0.0122,163,0.4465,0.193493,136,0.5963,0.0287
24,0.4041,0.0611,0.0233,166,0.4819,0.193490,143,0.6177,0.0858
25,0.4209,0.2771,-0.0673,173,0.6023,0.193562,143,0.6031,0.1882
26,0.4377,-0.1487,0.0295,162,0.4444,0.193559,142,0.5860,0.1939
27,0.4546,0.0106,0.0592,166,0.4800,0.193660,142,0.5878,0.0159
28,0.4714,-0.0975,0.0291,164,0.4619,0.193615,136,0.5763,0.0385
29,0.4882,0.0946,0.0177,170,0.5394,0.193620,140,0.6097,0.1562
30,0.5051,-0.1497,-0.0045,159,0.4007,0.193428,142,0.5716,0.1776
31,0.5219,-0.1502,-0.0044,159,0.4009,0.193428,141,0.5870,0.1813
32,0.5387,-0.0701,0.0401,163,0.4059,0.193581,141,0.5670,0.1006
33,0.5556,-0.1170,0.0199,163,0.4157,0.193530,142,0.5850,0.1626
