frame,t_s,ref_X_mm,ref_Y_mm,est_X_mm,est_Y_mm,err_X_mm,err_Y_mm,err_norm_mm,est_oracle_X_mm,est_oracle_Y_mm,err_oracle_mm,tracked_points,inlier_ratio,roi_visible,ref_corners,ref_rms_px,mm_per_px,xcheck_mm,flags
0,0.0000,-0.0553,0.0735,0.0217,0.0019,0.0770,-0.0716,0.1051,0.0217,0.0019,0.1051,0,0.0000,0.6101,165,0.4894,0.193644,0.0839,
1,0.0168,-0.0583,0.0746,0.0217,0.0019,0.0800,-0.0727,0.1081,0.0217,0.0019,0.1081,1998,1.0000,0.6101,165,0.4892,0.193646,0.2089,
2,0.0337,-0.0439,0.0620,0.0217,0.0019,0.0656,-0.0601,0.0890,0.0216,0.0019,0.0889,1997,1.0000,0.6101,165,0.4878,0.193634,0.1911,
3,0.0505,0.0937,0.0212,0.0216,0.0019,-0.0721,-0.0193,0.0746,0.0216,0.0020,0.0746,1998,1.0000,0.6100,167,0.5098,0.193606,0.0574,
4,0.0673,0.0788,-0.0046,0.0217,0.0019,-0.0571,0.0065,0.0575,0.0216,0.0020,0.0576,2000,1.0000,0.6093,167,0.5112,0.193505,0.0250,
5,0.0842,0.0252,-0.0252,0.0205,0.0016,-0.0047,0.0268,0.0272,0.0205,0.0017,0.0273,1999,0.9995,0.6093,163,0.4820,0.193427,0.0644,
6,0.1010,0.1999,-0.0395,0.0205,0.0016,-0.1794,0.0411,0.1840,0.0204,0.0017,0.1842,1998,1.0000,0.6092,170,0.5486,0.193513,0.0395,
7,0.1178,-0.0744,-0.0004,0.0205,0.0016,0.0949,0.0020,0.0949,0.0205,0.0017,0.0949,2000,1.0000,0.6099,163,0.4804,0.193474,0.4000,
8,0.1347,0.0793,-0.0304,0.0203,0.0015,-0.0590,0.0319,0.0671,0.0203,0.0015,0.0671,2000,1.0000,0.6096,166,0.5079,0.193462,0.1560,
9,0.1515,-0.0613,0.0156,0.0202,0.0014,0.0815,-0.0142,0.0827,0.0201,0.0014,0.0826,1999,1.0000,0.6100,162,0.4652,0.193521,0.2430,
10,0.1684,0.0238,0.0267,0.0175,0.0014,-0.0063,-0.0253,0.0261,0.0174,0.0014,0.0261,1999,1.0000,0.6097,166,0.4948,0.193560,0.0477,
11,0.1852,0.2481,-0.0287,0.0175,0.0014,-0.2306,0.0301,0.2326,0.0174,0.0014,0.2327,2000,1.0000,0.6087,170,0.5518,0.193414,0.2960,
12,0.2020,-0.0064,0.0263,0.0175,0.0014,0.0239,-0.0249,0.0345,0.0174,0.0014,0.0344,1999,1.0000,0.6100,165,0.4799,0.193565,0.0356,
13,0.2189,-0.0073,0.0265,0.0175,0.0014,0.0248,-0.0251,0.0353,0.0174,0.0014,0.0352,2000,1.0000,0.6100,165,0.4796,0.193566,0.0345,
14,0.2357,0.0706,-0.0044,0.0175,0.0015,-0.0531,0.0059,0.0534,0.0175,0.0015,0.0534,2000,1.0000,0.6093,167,0.5061,0.193495,0.1374,
15,0.2525,0.0770,-0.0060,0.0175,0.0010,-0.0595,0.0070,0.0599,0.0174,0.0011,0.0600,2000,1.0000,0.6093,167,0.5052,0.193504,0.1139,
16,0.2694,-0.0429,0.0134,0.0171,0.0010,0.0600,-0.0124,0.0613,0.0171,0.0010,0.0613,1999,1.0000,0.6099,163,0.4575,0.193507,0.0716,
17,0.2862,-0.0854,0.0005,0.0171,0.0010,0.1025,0.0005,0.1025,0.0171,0.0010,0.1025,2000,1.0000,0.6099,162,0.4554,0.193484,0.1305,
18,0.3030,0.0943,0.0229,0.0171,0.0010,-0.0772,-0.0219,0.0802,0.0171,0.0010,0.0802,2000,1.0000,0.6094,168,0.5127,0.193584,0.0502,
19,0.3199,0.1268,-0.0073,0.0165,0.0008,-0.1103,0.0081,0.1106,0.0165,0.0008,0.1106,2000,1.0000,0.6087,173,0.5874,0.193621,0.0353,
20,0.3367,0.0465,0.0766,0.0143,0.0004,-0.0322,-0.0762,0.0827,0.0143,0.0004,0.0827,2000,1.0000,0.6092,171,0.5688,0.193756,0.1289,
21,0.3535,0.0251,-0.0776,0.0143,0.0005,-0.0108,0.0781,0.0788,0.0143,0.0005,0.0788,2000,1.0000,0.6087,164,0.5213,0.193369,0.1114,
22,0.3704,0.0575,0.0240,0.0143,0.0006,-0.0432,-0.0234,0.0491,0.0143,0.0006,0.0491,2000,1.0000,0.6097,166,0.4864,0.193576,0.1488,
23,0.3872,-0.0509,0.0122,0.0143,0.0006,0.0652,-0.0116,0.0662,0.0142,0.0006,0.0661,1999,1.0000,0.6099,163,0.4465,0.193493,0.0287,
